#title:My Music;type:csv
artist,song,links
4 Non Blondes,Spaceman,youtube:OSWKw15rCoI
4 Non Blondes,What's Up,youtube:6NXnxTNIWkc
A-ha,Take On Me,youtube:djV11Xbc914
AC/DC,Thunderstruck,youtube:v2AC41dglnM
Aesop Rock,Long Legged Larry,youtube:us3pCHd8PLs
Alan Gogoll,Mulberry Mouse,youtube:qDObyBEMFQ4
Alanis Morissette,Ironic,youtube:H4bIXVTsJck
Alanis Morissette,Thank U,youtube:OOgpT5rEKIU
Alanis Morissette,You Learn,youtube:GFW-WfuX2Dk
Allison Russell,Nightflyer,youtube:eovUiXuaM1k
Allison Young,Sh-Boom (Life Could Be A Dream),youtube:On58Mq52UlY
Amii Stewart,Knock On Wood,youtube:vZV9pDeoajA
Andy Williams,Born Free,youtube:sGdqUGrpvDU
Annie Lennox,Little Bird,youtube:pjbNLVQ_Iwk
Annie Lennox,Walking on Broken Glass,youtube:y25stK5ymlA
Aretha Franklin,I Say A Little Prayer,youtube:mSJiWBKtI_M
Aretha Franklin,Natural Woman,youtube:HTqGIKiLBhc
Aretha Franklin,Respect,youtube:9iayJ8u4Qew
Average White Band,Pick Up the Pieces,youtube:DyjlxsJEknc
B.T. Express,Do It ('Til You're Satisfied),youtube:yvIQX_eDmN0
Beethoven,9th Symphony (Chicago Symphony Orchestra),youtube:rOjHhS5MtvA
Beethoven,Moonlight Sonata,youtube:4Tr0otuiQuU
Bellamy Brothers,Let Your Love Flow,youtube:QasRm6r2B2Q
Bette Midler,The Rose,
Betty Davis,They Say I'm Different,youtube:trDu_b1C3YU
Bill Withers,Lovely Day,
Bill Withers,Use Me,youtube:NuYDKzky4z0
Billie Holiday,Strange Fruit,
Billy Joel,It's Still Rock and Roll to Me
Billy Joel,Piano Man,
Billy Joel,We Didn't Start the Fire,
Billy Preston,Nothing From Nothing,youtube:8HqyEHqEYho
Billy Preston,Will It Go Round in Circles,youtube:FFHMdY9HijM
Billy Strings,Meet Me at the Creek,youtube:WLah0JzaX8c
Billy Thorpe,Children of the Sun,youtube:XR2oct3zeTM
Blind Melon,No Rain,youtube:6oipFiNPfdY|https://blindmelon.com/
Blue Swede,Hooked on a Feeling,youtube:NrI-UBIB8Jk
Bob Marley,Three Little Birds,
Bob Marley,Cornerstone,
Bob Seger,Feel Like A Number,
Bob Seger,
Bobby McFerrin,Don't Worry Be Happy
Boots Randolph,Yakety Sax,youtube:ZnHmskwqCCQ
Cab Calloway,Minnie the Moocher,
Cameo,Word Up,
Chaka Khan,Tell Me Something Good,
Chuck Berry,Johnny B. Goode,youtube:Uf4rxCB4lys
Corinne Bailey Rae,Put Your Records On,
"Crosby, Stills, Nash & Young",Carry On,
Cyndi Lauper,True Colors,
David Bowie,Dancing In The Street,
David Bowie,Let's Dance,
Donna Lewis,I Love You Always Forever,
Donovan,There is a Mountain,youtube:XcMM5-zBCEc
Dr John,Food for Thot,youtube:FzuWKyZYxcE
Dr Funk And The Good Times,Roadrunner,
Elton John,Bennie and the Jets,
Elton John,Circle of Life,
Elton John,I'm Still Standing,
Elton John,Pinball Wizard,youtube:xyFB3QjGX0A
Elton John,Rocket Man,
Eurythmics,Here Comes The Rain Again,
Eurythmics,Sweet Dreams,
Exuma,Obeah Man,youtube:CJKPucU4Y_c
Fanny,Charity Ball,
Fela Kuti,Just Like That,youtube:pyP796l21ks
Fela Kuti,Shakara,youtube:vvYxd35xFx8
Fela Kuti,Water No Get Enemy,
Feven Yoseph,Sewer Fiqir,youtube:v2t_CfgYLLg
Fleetwood Mac,Landslide,
Fleetwood Mac,Oh Well,youtube:VQmmByJwKFI
George Benson,On Broadway,youtube:EAIp7yFk0tk
George Harrison,What Is Life
George Michael,Faith,
George Michael,Freedom,
